"","geoRegion","NAME"
"1","AG","Aargau"
"2","AI","Appenzell Innerrhoden"
"3","AR","Appenzell Ausserrhoden"
"4","BE","Bern"
"5","BL","Basel-Landschaft"
"6","BS","Basel-Stadt"
"7","FR","Fribourg"
"8","GE","Genève"
"9","GL","Glarus"
"10","GR","Graubünden"
"11","JU","Jura"
"12","LU","Luzern"
"13","NE","Neuchâtel"
"14","NW","Nidwalden"
"15","OW","Obwalden"
"16","SG","St. Gallen"
"17","SH","Schaffhausen"
"18","SO","Solothurn"
"19","SZ","Schwyz"
"20","TG","Thurgau"
"21","TI","Ticino"
"22","UR","Uri"
"23","VD","Vaud"
"24","VS","Valais"
"25","ZG","Zug"
"26","ZH","Zürich"
